"id","nomes","Freq","continente","cor"
"area","Graziela Barroso",4,"AmLat","branca"
"area","Leonore Fahrig",3,"AmNo","branca"
"area","Rafaela Forzza",3,"AmLat","branca"
"area","Eunice Galati",2,"AmLat","branca"
"area","Jane Elith",2,"Oc","branca"
"area","Leonora Pires Costa",2,"AmLat","branca"
"area","Lucia Lohmann",2,"AmLat","branca"
"area","Nanuza Luiza de Menezes",2,"AmLat","branca"
"area","Alexine Keuroghlian",1,"AmNo","branca"
"area","Aline Ritter Curti",1,"AmLat","branca"
"area","Ana Carolina Carnaval",1,"AmLat","branca"
"area","Ana Maria Camargo",1,"AmLat","branca"
"area","Ana Maria Giulietti",1,"AmLat","branca"
"area","Bertha Lutz",1,"AmLat","branca"
"area","Carol Baskin",1,"AmNo","branca"
"area","Caroline Lehmann",1,"EuOc","branca"
"area","Catherine Graham",1,"AmNo","branca"
"area","Cristiane Divan Baldani",1,"EuOc","branca"
"area","Dian Fossey",1,"AmNo","branca"
"area","Elisabeth Rangel",1,"AmLat","branca"
"area","Ellen Swallow Richards",1,"AmNo","branca"
"area","Elsie Franklin Guimaraes",1,"AmLat","branca"
"area","Flavia R. C. Costa",1,"AmLat","branca"
"area","Giselda Durigan",1,"AmLat","branca"
"area","Helen Barber-James",1,"Afr","branca"
"area","Heloise Gibb",1,"Oc","branca"
"area","Judit K. Szabo",1,"EuOr","branca"
"area","Karen Strier",1,"AmNo","branca"
"area","Karen Warkentin",1,"AmNo","branca"
"area","Kathleen Carpenter",1,"EuOc","branca"
"area","Katia Christina Zuffellato-Ribas",1,"AmLat","branca"
"area","Katia M.P.M.B. Ferraz",1,"AmLat","branca"
"area","Kelly Zamudio",1,"AmNo","branca"
"area","Luz Boyero",1,"EuOc","branca"
"area","Maíra Benchimol",1,"AmLat","branca"
"area","Márcia Couri",1,"AmLat","branca"
"area","Margareth Mee",1,"EuOc","branca"
"area","Maria Amélia Dantes",1,"AmLat","branca"
"area","Mariana Altrichter",1,"AmNo","branca"
"area","Marie-Pierre Ledru",1,"EuOc","branca"
"area","Mary Therese Kalin-Arroyo",1,"Oc","branca"
"area","Melodie McGeoch",1,"Afr","branca"
"area","Monica Turner",1,"AmNo","branca"
"area","Nádia Almosny",1,"AmLat","preta"
"area","Núria Bonada",1,"EuOc","branca"
"area","Patrícia Izar",1,"AmLat","branca"
"area","Rachel Carson",1,"AmNo","branca"
"area","Rachel Lowe",1,"EuOc","branca"
"area","Regina Horta Duarte",1,"AmLat","branca"
"area","Regina Quisen",1,"AmLat","branca"
"area","Renata Pardini",1,"AmLat","branca"
"area","Rosangela Zacarias Machado",1,"AmLat","branca"
"area","Sara Varela",1,"EuOc","branca"
"area","Vicki Funk",1,"AmNo","branca"
"geral","Marie Curie",14,"EuOr","branca"
"geral","Rosalind Franklin",6,"EuOc","branca"
"geral","Ana Maria Primavesi",3,"EuOc","branca"
"geral","Bertha Lutz",3,"AmLat","branca"
"geral","Jane Goodall",4,"EuOc","branca"
"geral","Leonore Fahrig",2,"AmNo","branca"
"geral","Lynn Margulis",2,"AmNo","branca"
"geral","Margaret Hamilton",2,"AmNo","branca"
"geral","Ada Lovelace",1,"AmNo","branca"
"geral","Alda Lima Falcão",1,"AmLat","preta"
"geral","Ana Maria Giulietti Harley",1,"AmLat","branca"
"geral","Cleusa Graça da Fonseca",1,"AmLat","branca"
"geral","Deborah Charlesworth",1,"EuOc","branca"
"geral","Diana Lipscomb",1,"AmNo","branca"
"geral","Djamila Ribeiro",1,"AmLat","preta"
"geral","Emilie Snethlage",1,"EuOc","branca"
"geral","Graziela Barroso",1,"AmLat","branca"
"geral","Heloísa Alberto Torres",1,"AmLat","branca"
"geral","Inara Leal",1,"AmLat","branca"
"geral","Johanna Dobereiner",1,"AmLat","branca"
"geral","Katherine Johnson",1,"AmNo","preta"
"geral","Katie Bouman",1,"AmNo","branca"
"geral","Márcia Cristina B. Barbosa",1,"AmLat","branca"
"geral","Maria Bernadete Lovato",1,"AmLat","branca"
"geral","Maria Deane",1,"AmLat","branca"
"geral","Maria Tereza Jorge Pádua",1,"AmLat","branca"
"geral","Mary Leakey",1,"EuOc","branca"
"geral","Mayana Zatz",1,"AmLat","branca"
"geral","Nise da Silveira",1,"AmLat","branca"
"geral","Patricia Morelatto",1,"AmLat","branca"
"geral","Princesa Teresa da Baviera",1,"EuOc","branca"
"geral","Sonia Lopes",1,NA,NA
"geral","Susanne Renner",1,"EuOc","branca"
"geral","Vandana Shiva",1,"As","indiana"
