"nomes","Freq"
"Graziela Barroso",4
"Rafaela Forzza",3
"Eunice Galati",2
"Jane Elith",2
"Leonora Pires Costa",2
"Leonore Fahrig",2
"Lucia Lohmann",2
"Alexine Keuroghlian",1
"Aline Ritter Curti",1
"Ana Carolina Carnaval",1
"Ana Maria Camargo",1
"Ana Maria Giulietti",1
"Bertha Lutz",1
"Carol Baskin",1
"Caroline Lehmann",1
"Catherine Graham",1
"Cristiane Divan Baldani",1
"Dian Fossey",1
"Elisabeth Rangel",1
"Ellen Swallow Richards",1
"Elsie Franklin Guimaraes.",1
"Flavia R. C. Costa",1
"Giselda Durigan",1
"Helen Barber-James",1
"Heloise Gibb",1
"Judit K. Szabo",1
"Karen Strier",1
"Karen Warkentin",1
"Kathleen Carpenter",1
"Katia Christina Zuffellato-Ribas",1
"Katia M.P.M.B. Ferraz",1
"Kelly Zamudio",1
"Lenore Fahrig",1
"Luz Boyero",1
"Maíra Benchimol",1
"Márcia Couri",1
"Margareth Mee",1
"Maria Amélia Dantes",1
"Mariana Altrichter",1
"Marie-Pierre Ledru",1
"Mary Therese Kalin-Arroyo",1
"Melodie McGeoch",1
"Monica Turner",1
"Nádia Almosny",1
"Nanuza Luiza de Menezes",1
"Nanuza Menezes",1
"Não lembro",1
"Núria Bonada",1
"Patrícia Izar",1
"Rachel Carson",1
"Rachel Lowe",1
"Regina Horta Duarte",1
"Regina Quisen",1
"Renata Pardini",1
"Rosangela Zacarias Machado",1
"Sara Varela",1
"Vicki Funk",1
