nomes,Freq,continente,cor
Graziela Barroso,4,AmLat,branca
Leonore Fahrig,3,AmNo,branca
Rafaela Forzza,3,AmLat,branca
Eunice Galati,2,AmLat,branca
Jane Elith,2,Oc,branca
Leonora Pires Costa,2,AmLat,branca
Lucia Lohmann,2,AmLat,branca
Nanuza Luiza de Menezes,2,AmLat,branca
Alexine Keuroghlian,1,AmNo,branca
Aline Ritter Curti,1,AmLat,branca
Ana Carolina Carnaval,1,AmLat,branca
Ana Maria Camargo,1,AmLat,branca
Ana Maria Giulietti,1,AmLat,branca
Bertha Lutz,1,AmLat,branca
Carol Baskin,1,AmNo,branca
Caroline Lehmann,1,EuOc,branca
Catherine Graham,1,AmNo,branca
Cristiane Divan Baldani,1,EuOc,branca
Dian Fossey,1,AmNo,branca
Elisabeth Rangel,1,AmLat,branca
Ellen Swallow Richards,1,AmNo,branca
Elsie Franklin Guimaraes,1,AmLat,branca
Flavia R. C. Costa,1,AmLat,branca
Giselda Durigan,1,AmLat,branca
Helen Barber-James,1,Afr,branca
Heloise Gibb,1,Oc,branca
Judit K. Szabo,1,EuOr,branca
Karen Strier,1,AmNo,branca
Karen Warkentin,1,AmNo,branca
Kathleen Carpenter,1,EuOc,branca
Katia Christina Zuffellato-Ribas,1,AmLat,branca
Katia M.P.M.B. Ferraz,1,AmLat,branca
Kelly Zamudio,1,AmNo,branca
Luz Boyero,1,EuOc,branca
Maíra Benchimol,1,AmLat,branca
Márcia Couri,1,AmLat,branca
Margareth Mee,1,EuOc,branca
Maria Amélia Dantes,1,AmLat,branca
Mariana Altrichter,1,AmNo,branca
Marie-Pierre Ledru,1,EuOc,branca
Mary Therese Kalin-Arroyo,1,Oc,branca
Melodie McGeoch,1,Afr,branca
Monica Turner,1,AmNo,branca
Nádia Almosny,1,AmLat,preta
Núria Bonada,1,EuOc,branca
Patrícia Izar,1,AmLat,branca
Rachel Carson,1,AmNo,branca
Rachel Lowe,1,EuOc,branca
Regina Horta Duarte,1,AmLat,branca
Regina Quisen,1,AmLat,branca
Renata Pardini,1,AmLat,branca
Rosangela Zacarias Machado,1,AmLat,branca
Sara Varela,1,EuOc,branca
Vicki Funk,1,AmNo,branca
