nomes,Freq,continente,cor
Marie Curie,14,EuOr,branca
Rosalind Franklin,6,EuOc,branca
Ana Maria Primavesi,3,EuOc,branca
Bertha Lutz,3,AmLat,branca
Jane Goodall,4,EuOc,branca
Leonore Fahrig,2,AmNo,branca
Lynn Margulis,2,AmNo,branca
Margaret Hamilton,2,AmNo,branca
Ada Lovelace,1,AmNo,branca
Alda Lima Falcão,1,AmLat,preta
Ana Maria Giulietti Harley,1,AmLat,branca
Cleusa Graça da Fonseca,1,AmLat,branca
Deborah Charlesworth,1,EuOc,branca
Dian Fossey,1,AmNo,branca
Diana Lipscomb,1,AmNo,branca
Djamila Ribeiro,1,AmLat,preta
Emilie Snethlage,1,EuOc,branca
Graziela Barroso,1,AmLat,branca
Heloísa Alberto Torres,1,AmLat,branca
Inara Leal,1,AmLat,branca
Johanna Dobereiner,1,AmLat,branca
Katherine Johnson,1,AmNo,preta
Katia M.P.M.B. Ferraz,1,AmLat,branca
Katie Bouman,1,AmNo,branca
Márcia Cristina B. Barbosa,1,AmLat,branca
Maria Bernadete Lovato,1,AmLat,branca
Maria Deane,1,AmLat,branca
Maria Tereza Jorge Pádua,1,AmLat,branca
Mary Leakey,1,EuOc,branca
Mayana Zatz,1,AmLat,branca
Nise da Silveira,1,AmLat,branca
Patricia Morelatto,1,AmLat,branca
Princesa Teresa da Baviera,1,EuOc,branca
Rachel Carson,1,AmNo,branca
Sonia Lopes,1,NA,NA
Susanne Renner,1,EuOc,branca
Vandana Shiva,1,As,indiana
